t0.0,t0.05,t0.1,t0.15,t0.2,t0.25,t0.3,t0.35,t0.4,t0.45,t0.5,t0.55,t0.6,t0.65
"(0.0,0.08,1.0)","(1.78,0.05,0.99)","(3.56,-0.01,0.95)","(5.34,-0.06,0.89)","(7.12,-0.01,0.8)","(8.91,0.06,0.69)","(10.69,-0.09,0.56)","(12.47,0.07,0.4)","(14.25,-0.08,0.22)","(16.03,0.06,0.01)","(17.81,0.09,0)","(19.59,0.07,0)","(21.37,-0.04,0)",
"(0.0,-0.09,1.0)","(1.88,-0.06,0.99)","(3.76,-0.03,0.95)","(5.63,0.02,0.89)","(7.51,-0.09,0.8)","(9.39,0.02,0.69)","(11.27,-0.09,0.56)","(13.15,-0.1,0.4)","(15.03,0.09,0.22)","(16.9,-0.09,0.01)","(18.78,-0.07,0)","(20.66,-0.03,0)",,
"(0.0,0.06,1.0)","(1.7,-0.09,0.99)","(3.4,-0.05,0.95)","(5.11,0.06,0.89)","(6.81,-0.07,0.8)","(8.51,0.07,0.69)","(10.21,-0.07,0.56)","(11.91,0.09,0.4)","(13.61,0.08,0.22)","(15.32,-0.03,0.01)","(17.02,-0.09,0)","(18.72,-0.04,0)","(20.42,0.07,0)",
"(0.0,0.06,1.0)","(1.79,-0.01,0.99)","(3.58,0.04,0.95)","(5.38,0.09,0.89)","(7.17,0.02,0.8)","(8.96,-0.02,0.69)","(10.75,0.05,0.56)","(12.54,0.07,0.4)","(14.34,-0.03,0.22)","(16.13,0.02,0.01)","(17.92,-0.08,0)","(19.71,-0.02,0)","(21.5,-0.08,0)",
"(0.0,-0.03,1.0)","(1.74,-0.08,0.99)","(3.47,-0.03,0.95)","(5.21,0.06,0.89)","(6.94,0.06,0.8)","(8.68,0.07,0.69)","(10.41,-0.02,0.56)","(12.15,0.06,0.4)","(13.88,-0.02,0.22)","(15.62,0.05,0.01)","(17.35,0.0,0)","(19.09,-0.02,0)","(20.82,0.04,0)",
"(0.0,0.05,1.0)","(2.06,-0.04,0.99)","(4.12,0.01,0.95)","(6.17,-0.04,0.89)","(8.23,-0.08,0.8)","(10.29,-0.07,0.69)","(12.35,0.03,0.56)","(14.4,0.08,0.4)","(16.46,0.05,0.22)","(18.52,-0.08,0.01)","(20.58,-0.02,0)",,,
"(0.0,-0.0,1.0)","(1.79,0.05,0.99)","(3.58,-0.04,0.95)","(5.37,0.09,0.89)","(7.16,-0.08,0.8)","(8.95,-0.02,0.69)","(10.74,0.01,0.56)","(12.53,0.03,0.4)","(14.32,-0.03,0.22)","(16.11,0.04,0.01)","(17.9,-0.01,0)","(19.69,-0.01,0)","(21.48,-0.03,0)",
"(0.0,-0.01,1.0)","(1.75,-0.05,0.99)","(3.49,0.08,0.95)","(5.24,-0.01,0.89)","(6.99,0.01,0.8)","(8.73,0.02,0.69)","(10.48,0.05,0.56)","(12.22,-0.07,0.4)","(13.97,-0.01,0.22)","(15.72,0.08,0.01)","(17.46,0.07,0)","(19.21,0.06,0)","(20.96,-0.08,0)",
"(0.0,-0.04,1.0)","(1.84,-0.01,0.99)","(3.68,0.02,0.95)","(5.52,0.08,0.89)","(7.36,-0.01,0.8)","(9.2,0.04,0.69)","(11.04,0.02,0.56)","(12.88,-0.01,0.4)","(14.72,-0.02,0.22)","(16.56,0.01,0.01)","(18.4,-0.07,0)","(20.24,-0.01,0)",,
"(0.0,0.1,1.0)","(1.91,-0.03,0.99)","(3.81,0.07,0.95)","(5.72,-0.07,0.89)","(7.62,-0.08,0.8)","(9.53,-0.08,0.69)","(11.43,0.01,0.56)","(13.34,-0.07,0.4)","(15.24,-0.02,0.22)","(17.15,-0.05,0.01)","(19.05,0.01,0)","(20.96,0.07,0)",,
"(0.0,0.01,1.0)","(1.67,-0.05,0.99)","(3.35,-0.01,0.95)","(5.02,-0.01,0.89)","(6.7,-0.02,0.8)","(8.37,-0.06,0.69)","(10.04,-0.1,0.56)","(11.72,0.08,0.4)","(13.39,-0.04,0.22)","(15.07,-0.07,0.01)","(16.74,-0.07,0)","(18.42,0.09,0)","(20.09,-0.06,0)","(21.76,-0.04,0)"
"(0.0,-0.07,1.0)","(1.99,-0.02,0.99)","(3.99,0.06,0.95)","(5.98,0.09,0.89)","(7.97,0.05,0.8)","(9.97,-0.07,0.69)","(11.96,0.01,0.56)","(13.95,-0.04,0.4)","(15.95,-0.07,0.22)","(17.94,-0.04,0.01)","(19.93,0.04,0)","(21.93,-0.01,0)",,
"(0.0,0.04,1.0)","(1.87,0.08,0.99)","(3.75,-0.03,0.95)","(5.62,0.02,0.89)","(7.49,-0.07,0.8)","(9.37,-0.04,0.69)","(11.24,0.09,0.56)","(13.11,-0.04,0.4)","(14.99,0.01,0.22)","(16.86,0.06,0.01)","(18.74,-0.02,0)","(20.61,-0.03,0)",,
"(0.0,-0.07,1.0)","(1.99,0.05,0.99)","(3.98,0.02,0.95)","(5.97,-0.07,0.89)","(7.95,0.04,0.8)","(9.94,-0.04,0.69)","(11.93,-0.03,0.56)","(13.92,0.0,0.4)","(15.91,-0.03,0.22)","(17.9,0.01,0.01)","(19.89,-0.01,0)","(21.87,-0.04,0)",,
"(0.0,-0.05,1.0)","(2.03,-0.09,0.99)","(4.06,0.06,0.95)","(6.1,-0.04,0.89)","(8.13,-0.05,0.8)","(10.16,-0.03,0.69)","(12.19,0.0,0.56)","(14.23,0.01,0.4)","(16.26,-0.09,0.22)","(18.29,-0.03,0.01)","(20.32,0.07,0)",,,
"(0.0,-0.03,1.0)","(1.81,0.1,0.99)","(3.61,-0.04,0.95)","(5.42,-0.02,0.89)","(7.23,-0.03,0.8)","(9.03,-0.04,0.69)","(10.84,0.03,0.56)","(12.65,-0.08,0.4)","(14.45,0.07,0.22)","(16.26,0.09,0.01)","(18.07,0.04,0)","(19.87,0.1,0)","(21.68,-0.07,0)",
"(0.0,-0.07,1.0)","(1.68,-0.08,0.99)","(3.36,-0.02,0.95)","(5.04,-0.01,0.89)","(6.72,-0.03,0.8)","(8.4,0.07,0.69)","(10.08,0.08,0.56)","(11.76,-0.08,0.4)","(13.44,-0.07,0.22)","(15.12,0.02,0.01)","(16.8,-0.09,0)","(18.48,-0.03,0)","(20.16,0.05,0)",
"(0.0,0.04,1.0)","(2.0,0.09,0.99)","(4.01,0.05,0.95)","(6.01,-0.06,0.89)","(8.02,-0.1,0.8)","(10.02,0.03,0.69)","(12.03,-0.08,0.56)","(14.03,-0.08,0.4)","(16.04,0.05,0.22)","(18.04,0.06,0.01)","(20.05,0.03,0)","(22.05,-0.02,0)",,
"(0.0,0.03,1.0)","(2.06,0.02,0.99)","(4.13,-0.09,0.95)","(6.19,-0.08,0.89)","(8.25,0.07,0.8)","(10.32,0.04,0.69)","(12.38,-0.03,0.56)","(14.45,-0.05,0.4)","(16.51,0.1,0.22)","(18.57,0.08,0.01)","(20.64,-0.03,0)",,,
"(0.0,-0.02,1.0)","(1.76,0.1,0.99)","(3.52,-0.09,0.95)","(5.28,0.02,0.89)","(7.03,0.02,0.8)","(8.79,0.1,0.69)","(10.55,-0.02,0.56)","(12.31,-0.08,0.4)","(14.07,0.04,0.22)","(15.83,0.06,0.01)","(17.59,0.02,0)","(19.34,0.1,0)","(21.1,0.06,0)",
"(0.0,-0.06,1.0)","(1.69,-0.06,0.99)","(3.38,-0.03,0.95)","(5.07,-0.02,0.89)","(6.76,-0.08,0.8)","(8.46,-0.08,0.69)","(10.15,0.0,0.56)","(11.84,0.02,0.4)","(13.53,0.02,0.22)","(15.22,0.0,0.01)","(16.91,0.01,0)","(18.6,-0.1,0)","(20.29,0.03,0)",
"(0.0,0.09,1.0)","(1.75,0.02,0.99)","(3.49,0.09,0.95)","(5.24,0.0,0.89)","(6.99,0.02,0.8)","(8.73,0.03,0.69)","(10.48,-0.03,0.56)","(12.23,-0.06,0.4)","(13.97,-0.09,0.22)","(15.72,-0.07,0.01)","(17.46,0.07,0)","(19.21,0.1,0)","(20.96,0.02,0)",
"(0.0,-0.04,1.0)","(2.02,-0.05,0.99)","(4.03,0.1,0.95)","(6.05,-0.09,0.89)","(8.06,-0.07,0.8)","(10.08,-0.09,0.69)","(12.1,-0.06,0.56)","(14.11,-0.1,0.4)","(16.13,-0.0,0.22)","(18.15,-0.08,0.01)","(20.16,0.08,0)",,,
"(0.0,0.06,1.0)","(2.01,0.1,0.99)","(4.03,0.1,0.95)","(6.04,-0.0,0.89)","(8.06,-0.08,0.8)","(10.07,-0.05,0.69)","(12.09,-0.09,0.56)","(14.1,-0.04,0.4)","(16.12,0.03,0.22)","(18.13,-0.03,0.01)","(20.15,-0.03,0)",,,
"(0.0,-0.09,1.0)","(1.68,-0.07,0.99)","(3.37,0.02,0.95)","(5.05,0.06,0.89)","(6.74,0.0,0.8)","(8.42,-0.02,0.69)","(10.11,-0.03,0.56)","(11.79,-0.07,0.4)","(13.47,0.01,0.22)","(15.16,0.09,0.01)","(16.84,0.01,0)","(18.53,0.03,0)","(20.21,0.06,0)",
"(0.0,-0.07,1.0)","(2.01,0.08,0.99)","(4.02,-0.03,0.95)","(6.03,-0.08,0.89)","(8.03,-0.01,0.8)","(10.04,0.03,0.69)","(12.05,-0.1,0.56)","(14.06,0.09,0.4)","(16.07,-0.06,0.22)","(18.08,0.04,0.01)","(20.09,0.09,0)","(22.09,-0.1,0)",,
"(0.0,0.02,1.0)","(2.06,-0.01,0.99)","(4.12,0.03,0.95)","(6.19,-0.03,0.89)","(8.25,-0.02,0.8)","(10.31,0.07,0.69)","(12.37,0.07,0.56)","(14.44,-0.09,0.4)","(16.5,-0.05,0.22)","(18.56,0.04,0.01)","(20.62,-0.01,0)",,,
"(0.0,-0.06,1.0)","(1.97,-0.09,0.99)","(3.94,-0.01,0.95)","(5.91,0.02,0.89)","(7.89,-0.04,0.8)","(9.86,0.0,0.69)","(11.83,0.09,0.56)","(13.8,0.09,0.4)","(15.77,0.03,0.22)","(17.74,-0.02,0.01)","(19.72,0.01,0)","(21.69,0.05,0)",,
"(0.0,0.09,1.0)","(1.99,-0.05,0.99)","(3.97,-0.03,0.95)","(5.96,0.07,0.89)","(7.94,0.06,0.8)","(9.93,-0.06,0.69)","(11.91,-0.03,0.56)","(13.9,0.06,0.4)","(15.88,-0.09,0.22)","(17.87,-0.06,0.01)","(19.85,-0.01,0)","(21.84,-0.1,0)",,
"(0.0,0.02,1.0)","(2.05,-0.01,0.99)","(4.1,0.03,0.95)","(6.15,-0.02,0.89)","(8.2,-0.03,0.8)","(10.25,0.01,0.69)","(12.31,-0.01,0.56)","(14.36,-0.01,0.4)","(16.41,0.01,0.22)","(18.46,-0.09,0.01)","(20.51,0.06,0)",,,
"(0.0,0.0,1.0)","(2.04,-0.09,0.99)","(4.09,-0.1,0.95)","(6.13,-0.03,0.89)","(8.17,0.06,0.8)","(10.21,-0.03,0.69)","(12.26,0.05,0.56)","(14.3,-0.06,0.4)","(16.34,0.01,0.22)","(18.39,0.04,0.01)","(20.43,-0.0,0)",,,
"(0.0,-0.01,1.0)","(1.82,-0.02,0.99)","(3.63,0.02,0.95)","(5.45,-0.08,0.89)","(7.26,-0.06,0.8)","(9.08,0.04,0.69)","(10.89,-0.07,0.56)","(12.71,-0.04,0.4)","(14.53,0.1,0.22)","(16.34,0.02,0.01)","(18.16,0.09,0)","(19.97,0.01,0)","(21.79,0.04,0)",
"(0.0,-0.08,1.0)","(1.89,-0.02,0.99)","(3.78,-0.03,0.95)","(5.68,-0.01,0.89)","(7.57,-0.02,0.8)","(9.46,0.03,0.69)","(11.35,-0.0,0.56)","(13.25,-0.02,0.4)","(15.14,-0.02,0.22)","(17.03,0.03,0.01)","(18.92,-0.04,0)","(20.82,-0.02,0)",,
"(0.0,0.07,1.0)","(1.95,0.07,0.99)","(3.91,-0.01,0.95)","(5.86,-0.01,0.89)","(7.82,0.03,0.8)","(9.77,-0.1,0.69)","(11.73,0.1,0.56)","(13.68,0.08,0.4)","(15.64,-0.08,0.22)","(17.59,0.02,0.01)","(19.55,-0.0,0)","(21.5,-0.01,0)",,
"(0.0,-0.09,1.0)","(2.06,0.07,0.99)","(4.13,0.02,0.95)","(6.19,-0.01,0.89)","(8.25,-0.07,0.8)","(10.31,0.04,0.69)","(12.38,0.0,0.56)","(14.44,0.08,0.4)","(16.5,0.01,0.22)","(18.56,-0.0,0.01)","(20.63,-0.02,0)",,,
"(0.0,-0.01,1.0)","(2.06,0.08,0.99)","(4.12,-0.1,0.95)","(6.18,-0.09,0.89)","(8.24,0.08,0.8)","(10.31,-0.03,0.69)","(12.37,-0.09,0.56)","(14.43,-0.04,0.4)","(16.49,0.02,0.22)","(18.55,-0.0,0.01)","(20.61,-0.06,0)",,,
"(0.0,0.04,1.0)","(1.84,0.03,0.99)","(3.69,-0.04,0.95)","(5.53,-0.03,0.89)","(7.38,0.09,0.8)","(9.22,0.03,0.69)","(11.07,-0.06,0.56)","(12.91,-0.01,0.4)","(14.76,0.09,0.22)","(16.6,0.05,0.01)","(18.45,0.03,0)","(20.29,0.06,0)",,
"(0.0,-0.06,1.0)","(2.06,-0.08,0.99)","(4.12,-0.09,0.95)","(6.19,0.08,0.89)","(8.25,-0.05,0.8)","(10.31,-0.0,0.69)","(12.37,-0.08,0.56)","(14.43,-0.0,0.4)","(16.49,0.01,0.22)","(18.56,-0.04,0.01)","(20.62,-0.04,0)",,,
"(0.0,-0.06,1.0)","(1.73,0.04,0.99)","(3.45,-0.09,0.95)","(5.18,0.03,0.89)","(6.9,0.01,0.8)","(8.63,-0.09,0.69)","(10.36,-0.04,0.56)","(12.08,-0.08,0.4)","(13.81,0.02,0.22)","(15.54,-0.01,0.01)","(17.26,0.03,0)","(18.99,-0.07,0)","(20.71,0.06,0)",
"(0.0,0.09,1.0)","(1.85,-0.0,0.99)","(3.71,0.03,0.95)","(5.56,-0.01,0.89)","(7.42,-0.1,0.8)","(9.27,0.07,0.69)","(11.12,-0.07,0.56)","(12.98,-0.06,0.4)","(14.83,0.07,0.22)","(16.68,-0.05,0.01)","(18.54,-0.06,0)","(20.39,-0.07,0)",,
"(0.0,-0.02,1.0)","(2.03,-0.03,0.99)","(4.07,0.03,0.95)","(6.1,-0.07,0.89)","(8.13,0.01,0.8)","(10.17,0.09,0.69)","(12.2,-0.07,0.56)","(14.23,-0.09,0.4)","(16.27,0.03,0.22)","(18.3,-0.0,0.01)","(20.33,-0.02,0)",,,
"(0.0,-0.06,1.0)","(1.92,-0.08,0.99)","(3.83,0.06,0.95)","(5.75,-0.04,0.89)","(7.66,-0.08,0.8)","(9.58,-0.05,0.69)","(11.49,-0.04,0.56)","(13.41,-0.08,0.4)","(15.32,0.06,0.22)","(17.24,0.07,0.01)","(19.15,-0.05,0)","(21.07,0.09,0)",,
"(0.0,-0.04,1.0)","(1.67,-0.07,0.99)","(3.35,-0.09,0.95)","(5.02,0.05,0.89)","(6.69,-0.07,0.8)","(8.37,0.04,0.69)","(10.04,0.08,0.56)","(11.71,0.07,0.4)","(13.38,0.08,0.22)","(15.06,0.02,0.01)","(16.73,0.05,0)","(18.4,-0.02,0)","(20.08,0.09,0)","(21.75,-0.07,0)"
"(0.0,0.05,1.0)","(1.74,-0.01,0.99)","(3.48,-0.07,0.95)","(5.22,-0.09,0.89)","(6.96,-0.02,0.8)","(8.7,0.09,0.69)","(10.44,-0.01,0.56)","(12.18,0.0,0.4)","(13.92,0.06,0.22)","(15.66,-0.02,0.01)","(17.4,-0.05,0)","(19.14,0.01,0)","(20.88,-0.03,0)",
"(0.0,-0.01,1.0)","(1.75,0.04,0.99)","(3.49,0.04,0.95)","(5.24,0.07,0.89)","(6.99,-0.02,0.8)","(8.74,0.06,0.69)","(10.48,-0.02,0.56)","(12.23,-0.07,0.4)","(13.98,0.01,0.22)","(15.72,-0.07,0.01)","(17.47,-0.05,0)","(19.22,-0.03,0)","(20.96,0.09,0)",
"(0.0,-0.07,1.0)","(1.8,-0.08,0.99)","(3.6,0.04,0.95)","(5.4,0.0,0.89)","(7.2,0.02,0.8)","(9.0,-0.06,0.69)","(10.8,-0.02,0.56)","(12.6,-0.05,0.4)","(14.4,-0.08,0.22)","(16.2,0.03,0.01)","(18.0,-0.02,0)","(19.79,-0.06,0)","(21.59,-0.0,0)",
"(0.0,-0.08,1.0)","(1.81,-0.03,0.99)","(3.61,0.06,0.95)","(5.42,0.05,0.89)","(7.23,0.07,0.8)","(9.03,-0.1,0.69)","(10.84,0.06,0.56)","(12.65,0.09,0.4)","(14.45,-0.03,0.22)","(16.26,-0.09,0.01)","(18.07,-0.09,0)","(19.87,-0.05,0)","(21.68,-0.07,0)",
"(0.0,0.04,1.0)","(1.82,-0.0,0.99)","(3.63,0.05,0.95)","(5.45,-0.0,0.89)","(7.27,-0.08,0.8)","(9.09,0.05,0.69)","(10.9,0.06,0.56)","(12.72,0.01,0.4)","(14.54,-0.09,0.22)","(16.36,-0.08,0.01)","(18.17,-0.0,0)","(19.99,-0.08,0)","(21.81,-0.05,0)",
"(0.0,-0.05,1.0)","(1.96,0.02,0.99)","(3.92,0.07,0.95)","(5.89,-0.09,0.89)","(7.85,0.08,0.8)","(9.81,0.01,0.69)","(11.77,-0.08,0.56)","(13.74,-0.03,0.4)","(15.7,0.06,0.22)","(17.66,-0.02,0.01)","(19.62,-0.06,0)","(21.58,-0.03,0)",,
"(0.0,0.07,1.0)","(1.78,0.03,0.99)","(3.55,0.07,0.95)","(5.33,-0.01,0.89)","(7.11,0.01,0.8)","(8.88,0.09,0.69)","(10.66,0.02,0.56)","(12.44,0.01,0.4)","(14.21,-0.02,0.22)","(15.99,0.08,0.01)","(17.77,-0.07,0)","(19.55,0.07,0)","(21.32,-0.03,0)",
"(0.0,-0.07,1.0)","(1.85,-0.06,0.99)","(3.71,-0.04,0.95)","(5.56,-0.08,0.89)","(7.41,0.09,0.8)","(9.27,0.01,0.69)","(11.12,-0.02,0.56)","(12.98,0.04,0.4)","(14.83,-0.01,0.22)","(16.68,-0.08,0.01)","(18.54,0.06,0)","(20.39,0.01,0)",,
"(0.0,0.02,1.0)","(1.76,0.09,0.99)","(3.52,0.09,0.95)","(5.29,-0.01,0.89)","(7.05,-0.02,0.8)","(8.81,-0.02,0.69)","(10.57,-0.07,0.56)","(12.34,0.03,0.4)","(14.1,-0.1,0.22)","(15.86,0.03,0.01)","(17.62,0.05,0)","(19.39,-0.07,0)","(21.15,-0.01,0)",
"(0.0,0.08,1.0)","(1.9,0.07,0.99)","(3.8,0.08,0.95)","(5.7,0.07,0.89)","(7.59,0.01,0.8)","(9.49,-0.09,0.69)","(11.39,0.08,0.56)","(13.29,0.05,0.4)","(15.19,-0.06,0.22)","(17.09,0.0,0.01)","(18.99,0.09,0)","(20.88,-0.05,0)",,
"(0.0,0.08,1.0)","(1.73,0.07,0.99)","(3.45,0.07,0.95)","(5.18,0.07,0.89)","(6.91,0.01,0.8)","(8.63,0.0,0.69)","(10.36,-0.07,0.56)","(12.09,0.05,0.4)","(13.81,-0.09,0.22)","(15.54,-0.02,0.01)","(17.27,0.08,0)","(18.99,0.08,0)","(20.72,-0.08,0)",
"(0.0,0.0,1.0)","(1.79,-0.01,0.99)","(3.59,-0.07,0.95)","(5.38,-0.07,0.89)","(7.17,0.02,0.8)","(8.97,-0.01,0.69)","(10.76,-0.03,0.56)","(12.55,-0.09,0.4)","(14.35,0.09,0.22)","(16.14,0.04,0.01)","(17.93,-0.07,0)","(19.73,-0.01,0)","(21.52,0.08,0)",
"(0.0,0.05,1.0)","(2.0,-0.09,0.99)","(4.01,0.04,0.95)","(6.01,0.02,0.89)","(8.02,0.01,0.8)","(10.02,-0.08,0.69)","(12.03,-0.02,0.56)","(14.03,-0.07,0.4)","(16.04,0.06,0.22)","(18.04,0.0,0.01)","(20.05,0.03,0)","(22.05,-0.0,0)",,
"(0.0,-0.01,1.0)","(1.96,0.09,0.99)","(3.93,0.04,0.95)","(5.89,-0.06,0.89)","(7.86,-0.03,0.8)","(9.82,-0.09,0.69)","(11.79,0.01,0.56)","(13.75,0.0,0.4)","(15.72,-0.01,0.22)","(17.68,-0.04,0.01)","(19.65,0.04,0)","(21.61,0.01,0)",,
"(0.0,0.09,1.0)","(1.88,0.02,0.99)","(3.75,-0.01,0.95)","(5.63,-0.02,0.89)","(7.51,-0.05,0.8)","(9.38,0.08,0.69)","(11.26,-0.03,0.56)","(13.14,0.03,0.4)","(15.01,0.0,0.22)","(16.89,0.1,0.01)","(18.77,-0.01,0)","(20.64,0.09,0)",,
"(0.0,-0.0,1.0)","(1.93,-0.01,0.99)","(3.86,0.08,0.95)","(5.79,0.06,0.89)","(7.72,-0.09,0.8)","(9.65,-0.0,0.69)","(11.58,0.03,0.56)","(13.51,0.02,0.4)","(15.44,-0.01,0.22)","(17.37,0.0,0.01)","(19.3,0.09,0)","(21.23,-0.04,0)",,
"(0.0,0.03,1.0)","(1.91,0.07,0.99)","(3.82,0.06,0.95)","(5.73,0.05,0.89)","(7.64,0.03,0.8)","(9.55,-0.05,0.69)","(11.46,-0.04,0.56)","(13.37,-0.01,0.4)","(15.28,0.06,0.22)","(17.19,-0.02,0.01)","(19.1,-0.06,0)","(21.02,0.01,0)",,
"(0.0,-0.04,1.0)","(1.89,-0.08,0.99)","(3.77,-0.1,0.95)","(5.66,0.05,0.89)","(7.54,0.08,0.8)","(9.43,0.1,0.69)","(11.31,0.07,0.56)","(13.2,-0.08,0.4)","(15.08,-0.08,0.22)","(16.97,-0.04,0.01)","(18.85,-0.03,0)","(20.74,0.07,0)",,
"(0.0,0.03,1.0)","(1.75,-0.08,0.99)","(3.5,0.08,0.95)","(5.24,-0.01,0.89)","(6.99,0.0,0.8)","(8.74,-0.06,0.69)","(10.49,0.06,0.56)","(12.23,-0.0,0.4)","(13.98,0.09,0.22)","(15.73,0.09,0.01)","(17.48,-0.09,0)","(19.23,0.09,0)","(20.97,-0.0,0)",
"(0.0,0.07,1.0)","(1.88,-0.09,0.99)","(3.76,-0.04,0.95)","(5.64,-0.06,0.89)","(7.52,0.05,0.8)","(9.4,-0.03,0.69)","(11.28,0.06,0.56)","(13.16,-0.08,0.4)","(15.05,-0.05,0.22)","(16.93,-0.01,0.01)","(18.81,0.03,0)","(20.69,0.02,0)",,
"(0.0,-0.03,1.0)","(2.08,-0.05,0.99)","(4.16,-0.07,0.95)","(6.24,0.08,0.89)","(8.31,0.04,0.8)","(10.39,0.07,0.69)","(12.47,-0.09,0.56)","(14.55,-0.03,0.4)","(16.63,-0.02,0.22)","(18.71,-0.09,0.01)","(20.79,0.07,0)",,,
"(0.0,-0.02,1.0)","(1.78,-0.06,0.99)","(3.55,0.04,0.95)","(5.33,-0.01,0.89)","(7.11,-0.05,0.8)","(8.88,-0.01,0.69)","(10.66,-0.06,0.56)","(12.44,0.05,0.4)","(14.21,0.09,0.22)","(15.99,0.08,0.01)","(17.77,0.02,0)","(19.54,-0.09,0)","(21.32,-0.05,0)",
"(0.0,-0.01,1.0)","(1.69,0.01,0.99)","(3.38,-0.02,0.95)","(5.07,0.06,0.89)","(6.77,0.09,0.8)","(8.46,0.02,0.69)","(10.15,0.04,0.56)","(11.84,-0.04,0.4)","(13.53,-0.08,0.22)","(15.22,0.02,0.01)","(16.91,0.09,0)","(18.6,-0.09,0)","(20.3,-0.02,0)",
"(0.0,-0.02,1.0)","(1.8,-0.09,0.99)","(3.61,0.03,0.95)","(5.41,-0.01,0.89)","(7.21,-0.03,0.8)","(9.02,0.01,0.69)","(10.82,-0.02,0.56)","(12.62,-0.0,0.4)","(14.43,-0.06,0.22)","(16.23,-0.05,0.01)","(18.03,0.06,0)","(19.84,-0.02,0)","(21.64,0.01,0)",
"(0.0,0.02,1.0)","(2.03,0.04,0.99)","(4.06,-0.01,0.95)","(6.09,0.07,0.89)","(8.12,0.03,0.8)","(10.15,0.07,0.69)","(12.18,-0.05,0.56)","(14.21,0.06,0.4)","(16.24,-0.04,0.22)","(18.27,-0.05,0.01)","(20.3,-0.02,0)",,,
